dimension_1,value_1,dimension_2,value_2,bets,wins,losses,pushes,win_rate,profit_units,roi,avg_line,avg_projection,avg_projection_minus_line,avg_recommended_probability,avg_recommended_ev_percent,avg_bet_odds,avg_raw_edge,avg_projection_edge,avg_absolute_projection_edge,roi_standard_error,roi_ci_95_low,roi_ci_95_high,roi_x_sqrt_n,conservative_score,ranking_note
probability_bucket,62.5-65%,ev_bucket,5-10,46,27,19,0,0.5869565217391305,-0.6600000000000024,-0.014347826086956573,3.760869565217391,3.8086956521739133,0.04782608695652178,0.6367413043478262,7.1051673913043425,1.6821739130434785,0.04782608695652178,0.04782608695652178,0.6108695652173914,0.12328540085960046,-0.25598721177177347,0.22729155959786035,-0.09731169106223246,-0.25598721177177347,exploratory
projection_minus_line_bucket,-1--0.5,ev_bucket,5-10,43,26,17,0,0.6046511627906976,-0.8700000000000003,-0.020232558139534892,4.267441860465116,3.6351162790697673,-0.6323255813953489,0.668446511627907,7.4725534883720925,1.6120930232558137,-0.6323255813953489,-0.6323255813953489,0.6323255813953489,0.12267663079991165,-0.2606787545073617,0.22021363822829193,-0.1326737561893661,-0.2606787545073617,exploratory
side,under,ev_bucket,2-5,151,72,79,0,0.4768211920529801,-16.509999999999998,-0.10933774834437085,3.652317880794702,3.653443708609271,0.0011258278145695477,0.5579086092715231,3.3847609271523176,1.8790066225165565,0.0011258278145695477,0.0011258278145695477,0.2979470198675497,0.07730754321086354,-0.2608605330376634,0.04218503634892168,-1.343564745431184,-0.2608605330376634,exploratory
side,under,projection_minus_line_bucket,0.25-0.5,61,29,32,0,0.47540983606557374,0.43000000000000016,0.007049180327868855,3.237704918032787,3.5777049180327865,0.33999999999999997,0.4948213114754099,4.949059016393445,2.127704918032787,0.33999999999999997,0.33999999999999997,0.33999999999999997,0.13715041885237628,-0.2617656406227887,0.27586400127852634,0.05505585837114529,-0.2617656406227887,exploratory
side,under,verified_edge_bucket,0.5-1,79,42,37,0,0.5316455696202531,-6.739999999999998,-0.08531645569620251,3.778481012658228,3.475316455696202,-0.30316455696202527,0.6136303797468354,6.042699367088606,1.776962025316456,-0.30316455696202527,-0.30316455696202527,0.6322784810126583,0.09967210693621746,-0.28067378529118875,0.11004087389878371,-0.7583092452241399,-0.28067378529118875,exploratory
line_bucket,2.5,verified_edge_bucket,0-0.5,155,69,86,0,0.44516129032258067,-21.43,-0.13825806451612904,2.5,2.58141935483871,0.0814193548387097,0.5538690322580645,5.74381677419355,1.9385806451612904,0.0814193548387097,0.0814193548387097,0.2481290322580645,0.07856858005050674,-0.2922524814151223,0.015736352382864166,-1.7212990218380553,-0.2922524814151223,exploratory
probability_bucket,65-70%,ev_bucket,5-10,62,35,27,0,0.5645161290322581,-5.71,-0.09209677419354839,2.661290322580645,2.688548387096774,0.027258064516129017,0.6732129032258064,7.673456451612907,1.5999999999999999,0.027258064516129017,0.027258064516129017,0.618225806451613,0.10216434564844758,-0.29233889166450566,0.10814534327740885,-0.7251707251710878,-0.29233889166450566,exploratory
side,over,ev_bucket,5-10,130,60,70,0,0.46153846153846156,-17.0,-0.13076923076923078,3.0846153846153848,3.6226923076923074,0.538076923076923,0.5682765384615384,7.4468700000000005,1.9245384615384615,0.538076923076923,0.538076923076923,0.5417692307692306,0.08400695767140193,-0.29542286780517857,0.03388440626671699,-1.4909986328219498,-0.29542286780517857,exploratory
side,under,probability_bucket,52.5-55%,39,20,19,0,0.5128205128205128,-0.11000000000000032,-0.0028205128205128285,3.628205128205128,3.7317948717948717,0.10358974358974352,0.5400615384615386,5.3646025641025625,1.9512820512820512,0.10358974358974352,0.10358974358974352,0.12358974358974348,0.15774813314646283,-0.31200685378758,0.30636582814655433,-0.017614096918559634,-0.31200685378758,exploratory
projection_minus_line_bucket,0.25-0.5,ev_bucket,2-5,60,28,32,0,0.4666666666666667,-3.219999999999999,-0.05366666666666665,3.4,3.7538333333333336,0.3538333333333334,0.5094533333333333,3.302656666666668,2.0351666666666666,0.3538333333333334,0.3538333333333334,0.3538333333333334,0.13219185822998916,-0.3127627087974454,0.2054293754641121,-0.41570021249292927,-0.3127627087974454,exploratory
