rule_removed,rule_dimensions,removed_bets,removed_roi,removed_profit_units,remaining_bets,remaining_roi,remaining_profit_units,roi_lift,profit_change_units,pct_bets_retained,baseline_roi,baseline_bets,multiple_testing_note,evidence_class
side = under AND projection_minus_line_bucket = -0.25-0,2,79,-0.31329113924050633,-24.75,529,-0.1311342155009452,-69.37,0.023668416078002186,24.75,0.8700657894736842,-0.1548026315789474,608,exploratory; rule family comparison index 49,hypothesis worth holdout testing
projection_minus_line_bucket = 0.5-1,1,125,-0.24600000000000002,-30.750000000000004,483,-0.1312008281573499,-63.37,0.023601803421597484,30.750000000000007,0.7944078947368421,-0.1548026315789474,608,exploratory; rule family comparison index 11,hypothesis worth holdout testing
projection_minus_line_bucket = 0.5-1 AND verified_edge_bucket = 0.5-1,2,125,-0.24600000000000002,-30.750000000000004,483,-0.1312008281573499,-63.37,0.023601803421597484,30.750000000000007,0.7944078947368421,-0.1548026315789474,608,exploratory; rule family comparison index 272,hypothesis worth holdout testing
predicted_probability < 0.4979,1,122,-0.2487704918032787,-30.35,486,-0.13121399176954732,-63.769999999999996,0.02358863980940007,30.35000000000001,0.7993421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 17,hypothesis worth holdout testing
absolute_projection_edge < 0.14,1,121,-0.24842975206611573,-30.060000000000002,487,-0.13154004106776182,-64.06,0.023262590511185566,30.060000000000002,0.8009868421052632,-0.1548026315789474,608,exploratory; rule family comparison index 45,hypothesis worth holdout testing
recommended_ev_percent_value < 5.371,1,304,-0.17743421052631578,-53.94,304,-0.13217105263157894,-40.18,0.022631578947368447,53.940000000000005,0.5,-0.1548026315789474,608,exploratory; rule family comparison index 7,hypothesis worth holdout testing
predicted_probability < 0.5067,1,152,-0.21756578947368416,-33.06999999999999,456,-0.13388157894736843,-61.05000000000001,0.02092105263157895,33.06999999999999,0.75,-0.1548026315789474,608,exploratory; rule family comparison index 19,hypothesis worth holdout testing
side = over AND projection_minus_line_bucket = 0.5-1,2,105,-0.25457142857142856,-26.73,503,-0.13397614314115305,-67.38999999999999,0.020826488437794333,26.730000000000018,0.8273026315789473,-0.1548026315789474,608,exploratory; rule family comparison index 46,hypothesis worth holdout testing
side = over AND verified_edge_bucket = 0.5-1,2,105,-0.25457142857142856,-26.73,503,-0.13397614314115305,-67.38999999999999,0.020826488437794333,26.730000000000018,0.8273026315789473,-0.1548026315789474,608,exploratory; rule family comparison index 81,hypothesis worth holdout testing
projection_edge >= -0.28,1,486,-0.195082304526749,-94.81,122,0.005655737704918027,0.6899999999999993,0.16045836928386542,94.81,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 32,insufficient sample
projection_edge >= -0.49,1,549,-0.16648451730418945,-91.4,59,-0.046101694915254246,-2.7200000000000006,0.10870093666369314,91.4,0.09703947368421052,-0.1548026315789474,608,exploratory; rule family comparison index 30,insufficient sample
predicted_probability < 0.6327,1,456,-0.19,-86.64,152,-0.049210526315789475,-7.48,0.1055921052631579,86.64,0.25,-0.1548026315789474,608,exploratory; rule family comparison index 23,insufficient sample
predicted_probability < 0.6396,1,486,-0.1784567901234568,-86.73,122,-0.060573770491803264,-7.389999999999998,0.09422886108714412,86.73,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 25,insufficient sample
absolute_projection_edge < 0.77,1,546,-0.1648351648351648,-89.99999999999999,62,-0.06645161290322582,-4.120000000000001,0.08835101867572157,90.0,0.10197368421052631,-0.1548026315789474,608,exploratory; rule family comparison index 55,insufficient sample
projection_edge >= -0.2,1,457,-0.18168490153172867,-83.03,151,-0.07344370860927152,-11.09,0.08135892296967587,83.03,0.24835526315789475,-0.1548026315789474,608,exploratory; rule family comparison index 34,insufficient sample
projection_edge < 0.75,1,543,-0.16386740331491711,-88.97999999999999,65,-0.07907692307692309,-5.140000000000001,0.0757257085020243,88.98,0.1069078947368421,-0.1548026315789474,608,exploratory; rule family comparison index 41,insufficient sample
recommended_ev_percent_value < 7.577,1,456,-0.17339912280701753,-79.07,152,-0.09901315789473684,-15.05,0.05578947368421054,79.07000000000001,0.25,-0.1548026315789474,608,exploratory; rule family comparison index 9,insufficient sample
recommended_ev_percent_value >= 3.261,1,486,-0.1672839506172839,-81.29999999999998,122,-0.10508196721311473,-12.819999999999997,0.049720664365832654,81.30000000000001,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 4,insufficient sample
recommended_ev_percent_value < 7.898,1,486,-0.1630864197530864,-79.25999999999999,122,-0.12180327868852459,-14.86,0.0329993528904228,79.26,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 11,insufficient sample
recommended_ev_percent_value >= 3.568,1,456,-0.15478070175438596,-70.58,152,-0.15486842105263157,-23.54,-6.578947368418575e-05,70.58000000000001,0.25,-0.1548026315789474,608,exploratory; rule family comparison index 6,insufficient sample
verified_edge_bucket = 0-0.5,1,412,-0.15281553398058254,-62.96,196,-0.15897959183673468,-31.16,-0.004176960257787299,62.96000000000001,0.3223684210526316,-0.1548026315789474,608,exploratory; rule family comparison index 29,insufficient sample
projection_edge < 0.45,1,454,-0.14896475770925108,-67.63,154,-0.17201298701298703,-26.490000000000002,-0.017210355434039648,67.63,0.2532894736842105,-0.1548026315789474,608,exploratory; rule family comparison index 37,insufficient sample
absolute_projection_edge < 0.636,1,486,-0.14810699588477366,-71.98,122,-0.18147540983606558,-22.14,-0.026672778257118196,71.98,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 53,insufficient sample
projection_edge >= 0.17,1,305,-0.12711475409836065,-38.769999999999996,303,-0.18267326732673264,-55.349999999999994,-0.027870635747785255,38.77000000000001,0.49835526315789475,-0.1548026315789474,608,exploratory; rule family comparison index 36,insufficient sample
absolute_projection_edge < 0.59,1,453,-0.14298013245033112,-64.77,155,-0.18935483870967743,-29.35,-0.03455220713073004,64.77000000000001,0.25493421052631576,-0.1548026315789474,608,exploratory; rule family comparison index 51,insufficient sample
ev_bucket = 5-10,1,337,-0.1261127596439169,-42.5,271,-0.19047970479704796,-51.62,-0.03567707321810057,42.50000000000001,0.4457236842105263,-0.1548026315789474,608,exploratory; rule family comparison index 27,insufficient sample
predicted_probability < 0.6691,1,547,-0.15073126142595977,-82.45,61,-0.19131147540983606,-11.67,-0.036508843830888676,82.45,0.10032894736842106,-0.1548026315789474,608,exploratory; rule family comparison index 27,insufficient sample
recommended_ev_percent_value >= 2.6,1,547,-0.15045703839122485,-82.29999999999998,61,-0.19377049180327868,-11.82,-0.0389678602243313,82.30000000000001,0.10032894736842106,-0.1548026315789474,608,exploratory; rule family comparison index 2,insufficient sample
recommended_ev_percent_value < 8.937,1,547,-0.15043875685557587,-82.29,61,-0.19393442622950816,-11.829999999999998,-0.03913179465056077,82.29,0.10032894736842106,-0.1548026315789474,608,exploratory; rule family comparison index 13,insufficient sample
side = under,1,358,-0.11734636871508378,-42.00999999999999,250,-0.20844,-52.11,-0.0536373684210526,42.010000000000005,0.41118421052631576,-0.1548026315789474,608,exploratory; rule family comparison index 1,insufficient sample
absolute_projection_edge >= 0.35,1,305,-0.10032786885245902,-30.6,303,-0.2096369636963696,-63.519999999999996,-0.054834332117422224,30.60000000000001,0.49835526315789475,-0.1548026315789474,608,exploratory; rule family comparison index 50,insufficient sample
absolute_projection_edge >= 0.07,1,547,-0.14859232175502743,-81.28,61,-0.21049180327868852,-12.84,-0.055689171699741136,81.28,0.10032894736842106,-0.1548026315789474,608,exploratory; rule family comparison index 44,insufficient sample
projection_edge < 0.56,1,485,-0.13903092783505155,-67.43,123,-0.21699186991869923,-26.690000000000005,-0.062189238339751846,67.43,0.20230263157894737,-0.1548026315789474,608,exploratory; rule family comparison index 39,insufficient sample
predicted_probability >= 0.5067,1,456,-0.13388157894736843,-61.05000000000001,152,-0.21756578947368416,-33.06999999999999,-0.06276315789473677,61.05000000000001,0.25,-0.1548026315789474,608,exploratory; rule family comparison index 20,insufficient sample
predicted_probability >= 0.4735,1,547,-0.1455758683729433,-79.63,61,-0.23754098360655734,-14.489999999999998,-0.08273835202760996,79.63000000000001,0.10032894736842106,-0.1548026315789474,608,exploratory; rule family comparison index 16,insufficient sample
absolute_projection_edge >= 0.14,1,487,-0.13154004106776182,-64.06,121,-0.24842975206611573,-30.060000000000002,-0.09362712048716834,64.06,0.19901315789473684,-0.1548026315789474,608,exploratory; rule family comparison index 46,insufficient sample
predicted_probability >= 0.4979,1,486,-0.13121399176954732,-63.769999999999996,122,-0.2487704918032787,-30.35,-0.09396786022433132,63.77,0.20065789473684212,-0.1548026315789474,608,exploratory; rule family comparison index 18,insufficient sample
absolute_projection_edge >= 0.18,1,459,-0.11189542483660131,-51.36,149,-0.28697986577181206,-42.76,-0.13217723419286467,51.36000000000001,0.2450657894736842,-0.1548026315789474,608,exploratory; rule family comparison index 48,insufficient sample
projection_minus_line_bucket = 0-0.25 AND probability_bucket = 45-50%,2,46,-0.528695652173913,-24.32,562,-0.12419928825622772,-69.79999999999998,0.03060334332271966,24.32000000000002,0.9243421052631579,-0.1548026315789474,608,exploratory; rule family comparison index 226,weak exploratory signal
side = over AND line_bucket = 4.5,2,44,-0.41727272727272724,-18.36,564,-0.13432624113475175,-75.75999999999999,0.020476390444195636,18.360000000000014,0.9276315789473685,-0.1548026315789474,608,exploratory; rule family comparison index 33,weak exploratory signal
line_bucket = 5.5 AND verified_edge_bucket = 0-0.5,2,41,-0.42975609756097555,-17.619999999999997,567,-0.1349206349206349,-76.5,0.019881996658312473,17.620000000000005,0.9325657894736842,-0.1548026315789474,608,exploratory; rule family comparison index 204,weak exploratory signal
