player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Sam Darnold,29048,QB,SEA,1,3,0,0,0.0,0,0,-2,0,0,0,0,0.0,0,0,29,2,0,22.5,67.9,78.5,66.7,,,60.0,60.1,0,0,0,0,0,41,0,0,0,3,0,-2,0,0.0,-0.7,,0
Davis Mills,52269,QB,HST,1,3,0,0,0.0,0,0,0,0,0,0,0,0.0,1,1,13,1,0,25.5,47.4,0.0,54.7,,,32.6,60.0,14,1,0,0,0,22,20,2,0,1,1,20,1,0.33,6.7,,0
Michael Carter,57337,HB,ARZ,1,3,1,0,0.0,0,0,4,0,0,1,5,55.6,0,0,1,0,3,67.2,62.1,71.6,,74.4,57.1,61.7,,6,0,0,0,4,3,0,0,0,3,0,4,5,1.67,1.3,0.0,0
Chuba Hubbard,57373,HB,CAR,1,3,0,0,0.0,0,0,14,0,0,0,8,0.0,0,0,5,0,1,72.1,57.9,73.2,,,58.9,57.8,,6,0,1,1,8,3,0,0,1,4,0,14,8,2.67,4.7,0.13,2
Tank Bigsby,123974,HB,PHI,1,3,0,0,0.0,0,0,7,0,0,0,6,0.0,0,0,24,0,1,67.2,50.8,70.7,,4.9,57.0,57.9,60.0,5,0,0,0,3,4,0,0,0,3,0,7,6,2.0,2.3,0.0,2
Isaiah Davis,138299,HB,NYJ,1,3,1,0,0.0,0,0,10,0,0,1,8,66.7,1,0,22,0,1,68.2,58.5,73.9,,49.5,60.6,59.1,59.7,10,0,1,1,6,5,0,0,1,4,0,10,8,2.67,3.3,0.17,2
Malachi Corley,66272,WR,CLV,1,2,2,2,100.0,32,0,32,0,0,2,22,1.1e3,2,2,8,0,0,67.7,62.4,72.4,,,55.2,67.4,60.3,16,0,0,0,7,11,0,0,1,2,0,32,22,11.0,16.0,0.0,0
Rashid Shaheed,63707,WR,SEA,1,2,1,0,0.0,0,0,20,0,0,1,10,166.7,2,2,29,0,0,21.5,64.7,75.9,,,55.2,71.4,62.2,10,0,3,1,8,11,0,0,1,3,0,20,10,5.0,10.0,0.38,1
AJ Barner,129433,TE,SEA,1,2,0,0,0.0,0,0,3,0,0,0,1,0.0,0,2,29,0,0,65.2,60.3,73.0,,2.3,48.0,70.7,56.7,2,0,0,0,5,17,0,0,0,2,0,3,1,0.5,1.5,0.0,0
Tua Tagovailoa,60326,QB,MIA,1,2,0,0,0.0,0,0,-1,0,0,0,0,0.0,0,0,17,0,0,76.5,72.8,78.3,71.7,,,60.0,60.0,0,0,0,0,0,30,0,0,0,2,0,-1,0,0.0,-0.5,,0
Kaleb Johnson,156419,HB,PIT,1,2,0,0,0.0,0,0,3,0,0,0,2,0.0,0,0,25,0,1,67.2,71.5,66.1,,,59.9,69.2,,5,0,0,0,1,3,0,0,0,2,0,3,2,1.0,1.5,0.0,1
Greg Dortch,42237,WR,ARZ,1,2,0,0,0.0,0,0,2,0,0,0,1,0.0,0,1,1,0,0,70.1,53.1,76.2,,,52.2,60.4,60.3,4,0,0,0,21,7,0,0,0,2,1,2,1,0.5,1.0,0.0,0
Russell Wilson,7077,QB,NYG,1,2,0,0,0.0,0,1,0,0,0,0,,100.0,1,1,21,0,0,71.9,57.5,75.2,54.9,,,61.3,60.0,11,1,0,0,0,10,12,2,0,0,0,12,4,2.0,6.0,,0
Parker Washington,129799,WR,JAX,1,2,0,0,0.0,0,0,-4,0,0,0,0,0.0,0,0,15,0,0,72.1,76.5,78.0,,,78.9,54.0,54.8,4,0,33,3,30,17,0,0,4,5,0,-4,0,0.0,-2.0,1.1,1
