slice,position,line_bucket,bets,wins,pushes,hit_rate,profit_units,roi,avg_line,avg_projection,avg_edge_yards,avg_ev_percent,avg_actual,avg_actual_minus_line,avg_projection_minus_actual,avg_market_odds,avg_over_price,avg_under_price,avg_recommended_prob,avg_implied_prob,avg_probability_edge,calibration_gap,projection_bias,overconfidence_flag,side,fav_status,spread_bucket,total_bucket
side + line_bucket,,50-60,2,0,0,0.0,-2.0,-1.0,53.0,50.28,4.199999999999999,4.618181818181832,95.5,42.5,-45.22,-110.0,-110.0,-110.0,0.548,0.5238095238095238,0.024190476190476207,0.548,projection_low,False,under,,,
side + line_bucket,,60+,14,7,0,0.5,-0.6363636363636358,-0.045454545454545414,70.5,67.46357142857143,3.195,4.481818181818195,69.35714285714286,-1.1428571428571428,-1.893571428571429,-110.0,-110.0,-110.0,0.5472857142857144,0.5238095238095238,0.023476190476190484,0.047285714285714375,projection_low,False,under,,,
side + line_bucket,,<20,5,2,0,0.4,-1.1818181818181817,-0.23636363636363633,17.7,15.934000000000001,1.7660000000000005,3.854545454545466,30.0,12.3,-14.065999999999999,-110.0,-110.0,-110.0,0.544,0.5238095238095238,0.020190476190476203,0.14400000000000002,projection_low,False,under,,,
side + favorite/underdog,,,306,152,0,0.49673202614379086,-15.818181818181806,-0.05169340463458107,40.97712418300654,46.06908496732026,5.091960784313726,6.384385615568689,44.826797385620914,3.849673202614379,1.2422875816993468,-110.05882352941177,-110.05882352941177,-108.6470588235294,0.5573856209150327,0.5239309355883727,0.033454685326659996,0.06065359477124188,projection_high,True,over,favorite,,
side + favorite/underdog,,,310,157,0,0.5064516129032258,-10.212602212602196,-0.03294387810516838,37.57096774193548,42.340387096774194,4.78541935483871,6.155762540923837,42.50967741935484,4.938709677419355,-0.1692903225806453,-109.28387096774193,-109.28387096774193,-110.07741935483871,0.5558774193548387,0.5236430170930565,0.032234402261782265,0.049425806451612875,projection_low,False,over,underdog,,
side + favorite/underdog,,,13,6,0,0.46153846153846156,-1.545454545454545,-0.11888111888111884,45.65384615384615,43.92538461538462,2.11,3.9132867132867264,51.30769230769231,5.653846153846154,-7.382307692307692,-110.0,-110.0,-110.0,0.5443076923076924,0.5238095238095238,0.02049816849816851,0.08276923076923082,projection_low,False,under,favorite,,
side + favorite/underdog,,,30,19,0,0.6333333333333333,6.272727272727276,0.2090909090909092,41.166666666666664,38.273666666666664,3.053,5.038181818181827,39.4,-1.7666666666666666,-1.1263333333333336,-110.0,-110.0,-110.0,0.5502,0.5238095238095238,0.02639047619047619,-0.08313333333333328,projection_low,False,under,underdog,,
side + spread_bucket,,,132,62,0,0.4696969696969697,-13.593073593073589,-0.1029778302505575,38.553030303030305,43.132121212121206,4.579090909090908,5.937347500983871,40.39393939393939,1.8409090909090908,2.738181818181818,-109.96212121212122,-109.96212121212122,-110.03787878787878,0.5548181818181819,0.523721535916658,0.03109664590152394,0.08512121212121215,projection_high,True,over,,dog_0_to_3,
side + spread_bucket,,,130,69,0,0.5307692307692308,1.7441077441077493,0.013416213416213456,38.10769230769231,43.02569230769231,4.956153846153846,6.425399785399791,44.91538461538462,6.8076923076923075,-1.8896923076923073,-108.33076923076923,-108.33076923076923,-110.14615384615385,0.5571384615384616,0.5235018108845502,0.03363665065391143,0.02636923076923081,projection_low,False,over,,dog_3_to_7,
side + spread_bucket,,,48,26,0,0.5416666666666666,1.6363636363636385,0.03409090909090914,33.416666666666664,38.30708333333333,4.890416666666667,6.026136363636371,41.8125,8.395833333333334,-3.5054166666666675,-110.0,-110.0,-110.0,0.555375,0.5238095238095238,0.03156547619047617,0.013708333333333322,projection_low,False,over,,dog_7_plus,
