team,position,count,probability,moneyline
SEA,QB,11,0.0022,+45355
SEA,RB,9,0.0018,+55456
SF,WR,1882,0.3764,+166
SF,OT,1697,0.3394,+195
SF,EDGE,678,0.1356,+637
SF,S,316,0.0632,+1482
SF,IOL,188,0.0376,+2560
SF,CB,102,0.0204,+4802
SF,DT,51,0.0102,+9704
SF,LB,45,0.009,+11011
SF,TE,33,0.0066,+15052
SF,QB,8,0.0016,+62400
TB,EDGE,2592,0.5184,-108
TB,CB,910,0.182,+449
TB,TE,895,0.179,+459
TB,IOL,272,0.0544,+1738
TB,OT,185,0.037,+2603
TB,RB,67,0.0134,+7363
TB,S,39,0.0078,+12721
TB,WR,33,0.0066,+15052
TB,LB,5,0.001,+99900
TB,DT,2,0.0004,+249900
TEN,EDGE,1962,0.3924,+155
TEN,RB,1884,0.3768,+165
TEN,LB,546,0.1092,+816
TEN,WR,536,0.1072,+833
TEN,OT,56,0.0112,+8829
TEN,CB,10,0.002,+49900
TEN,S,6,0.0012,+83233
WAS,EDGE,2173,0.4346,+130
WAS,WR,960,0.192,+421
WAS,RB,750,0.15,+567
WAS,LB,572,0.1144,+774
WAS,S,366,0.0732,+1266
WAS,OT,98,0.0196,+5002
WAS,CB,79,0.0158,+6229
WAS,IOL,2,0.0004,+249900
