position,stat,count,mean,median,mean_minus_median,std,cv,skew,p25,p75,p90,max
TE,receiving_adot,5579,6.631457250403297,5.8,0.8314572504032975,5.491586009268642,0.8281114997664603,1.1285296276470056,3.0,9.4,13.219999999999981,42.0
TE,rushing_yards,232,8.323275862068966,2.0,6.323275862068966,17.58870582993688,2.1131951074807644,3.9444859320027628,1.0,6.25,23.700000000000017,138.0
TE,rush_attempts,232,2.043103448275862,1.0,1.043103448275862,2.3332426997090625,1.1420090850896678,2.820761146725192,1.0,2.0,5.0,14.0
TE,rushing_tds,232,0.14655172413793102,0.0,0.14655172413793102,0.44145195979955437,3.0122604315734303,3.7295239910921723,0.0,0.0,1.0,3.0
TE,rushing_ypa,230,3.0704347826086957,2.0,1.0704347826086957,4.733905833343071,1.5417705206300005,2.604983990933735,1.0,4.0,7.0,35.0
WR,passing_yards,93,9.505376344086022,0.0,9.505376344086022,14.936549610234604,1.5713790879545453,1.7480040137093193,0.0,19.0,30.599999999999994,75.0
WR,pass_attempts,93,1.021505376344086,1.0,0.021505376344086002,0.14584794223227637,0.14277745923791266,6.705764668687526,1.0,1.0,1.0,2.0
WR,passing_tds,93,0.15053763440860216,0.0,0.15053763440860216,0.3595358287503663,2.3883451481274336,1.9866885499794191,0.0,0.0,1.0,1.0
WR,passing_ypa,93,9.198924731182796,0.0,9.198924731182796,14.533159196215179,1.5798758682034033,1.8081942196912573,0.0,19.0,28.799999999999997,75.0
WR,receiving_yards,11107,38.462050958854775,29.0,9.462050958854775,36.198564923354056,0.941150147247163,1.3396469532645199,10.0,57.0,89.39999999999964,266.0
WR,targets,11107,4.686143873233096,4.0,0.686143873233096,3.3058551043042783,0.7054531814925863,0.9944087533647381,2.0,7.0,9.0,23.0
WR,receptions,11107,3.0588817862609163,2.0,1.0588817862609163,2.4765329590355525,0.809620355438054,1.1207137282103734,1.0,4.0,7.0,18.0
WR,routes,11107,24.85090483478887,26.0,-1.1490951652111292,12.536857594461823,0.5044829424847111,0.013353755479757303,15.0,34.0,41.0,70.0
WR,yprr,11107,1.662814441343297,1.26,0.402814441343297,2.0508678643416642,1.2333714534526654,9.468519885642364,0.57,2.22,3.4,69.0
WR,receiving_adot,11107,11.25717115332673,10.4,0.8571711533267301,7.620806489256821,0.6769734940917828,1.1663740742964053,6.4,15.0,20.0,63.0
WR,rushing_yards,1691,7.893554109994087,6.0,1.8935541099940867,10.54022556094606,1.3352952819568316,2.0186041053620545,2.0,11.0,19.0,79.0
WR,rush_attempts,1691,1.3749260792430515,1.0,0.37492607924305155,0.8872191999352087,0.6452850181034141,4.084075497891479,1.0,1.0,2.0,10.0
WR,rushing_tds,1691,0.06031933767001774,0.0,0.06031933767001774,0.24306648901371522,4.029661107080318,3.9421328996836653,0.0,0.0,0.0,2.0
WR,rushing_ypa,1689,5.694079336885731,5.0,0.6940793368857312,7.485136171318502,1.3145472215025995,2.0640418684469033,2.0,9.0,14.0,71.0
