Rank,Player Name,Position,College,OT Side
514,Samuel M'Pemba,EDGE,Texas A&M
515,Calvin Simpson-Hunt,CB,Baylor
516,Bai Jobe,EDGE,Miami (OH)
517,Jaiden Ausberry,LB,Notre Dame
518,Makari Vickers,CB,Colorado
519,Sedrick Alexander,RB,Vanderbilt
520,Calvin Clements,OT,Kansas
521,Grayson Loftis,QB,Charlotte
522,James Durand,IOL,Western Illinois
523,A'Marion McCoy,CB,Boise State
524,Davin Stoffel,TE,Illinois
525,Travis Shaw,DL,Texas
526,Denver Harris,CB,UNLV
527,Kaleb Brown,WR,UAB
528,Jacolby Spells,CB,West Virginia
529,Collin Sadler,OT,Clemson
530,Zion Branch,S,Georgia
531,Jamari Lyons,DL,Florida
532,Justice Finkley,EDGE,Kansas
533,Dasan McCullough,EDGE,Nebraska
534,Tobias Merriweather,WR,Utah
535,Dayne Shor,OT,Akron
536,Holden Staes,TE,Indiana
537,Jaylon Glover,RB,UNLV
538,C.J. Williams,WR,Stanford
539,Maalik Murphy,QB,Oregon State
540,Keaten Wade,EDGE,Colorado
541,Julian Armella,IOL,UCLA
542,Kobe Prentice,WR,Baylor
543,Shawn Murphy,LB,South Carolina
544,Khurtiss Perry,DL,Jacksonville State
545,Antonio Gates Jr.,WR,Delaware State
546,Braylin Presley,WR,Tulsa
547,Jayden Virgin-Morgan,EDGE,Boise State
548,Cam Miller,CB,Rutgers
549,Popeye Williams,EDGE,Western Michigan
550,Kyion Grayes,WR,California
551,Amari Niblack,TE,Texas A&M
552,J.Q. Hardaway,CB,Kentucky
553,TreVonte Citizen,RB,McNeese State
554,Malick Sylla,EDGE,Mississippi State
555,Cole Hutson,IOL,Texas
556,Justus Ross-Simmons,WR,Syracuse
557,John Bock II,IOL,Tulane
558,Eddie Kelly,DL,West Virginia
559,Jerry Wilson,CB,Florida State
560,Owen McCown,QB,UTSA
561,Nate Johnson,QB,Utah
562,Savion Red,RB,Sacramento State
563,Tyler Perkins,P,Iowa State
564,Darren Agu,EDGE,New Mexico
565,Squirrel White,WR,Florida State
566,Gavin Gibson,CB,North Carolina
567,Cameron Robertson,EDGE,SMU
568,Braxton Fely,DL,Boise State
569,Wendell Moe Jr.,IOL,Tennessee
570,Cade McConnell,IOL,Vanderbilt
571,Josh Kattus,TE,Kentucky
572,Andrew Paul,RB,Jacksonville State
573,Pichon Wimbley,IOL,Georgia Southern
574,Kam Olds,EDGE,Kentucky
575,Kyron Barnes,OT,Nicholls
576,Damonic Williams,DL,Oklahoma
577,Malik Spencer,S,Michigan State
578,Jeremiah Earby,CB,Boise State
579,Van Wells,IOL,Oregon State
580,Richard Reese,RB,Stephen F. Austin
581,Deshaun Lee,CB,Iowa
582,Jahiem Lawson,EDGE,Clemson
583,Bryan McCoy,LB,Oklahoma State
584,Lance St. Louis,LS,Texas
585,Jordan Pollard,LB,San Jose State
586,Jackson Lee,LS,Florida Atlantic
587,Liam Becher,IOL,North Dakota
588,Quinten Christensen,IOL,South Dakota State
589,Omar Aigbedion,IOL,Baylor
590,Desmeal Leigh,OT,Youngstown State
591,Maurice Westmoreland,EDGE,Tulane
592,Damon Payne,DL,Michigan
593,Sage Ryan,S,Mississippi
594,Korey Foreman,EDGE,Fresno State
595,Marcus Burris,DL,Memphis
596,Malik McClain,WR,Arizona State
597,JoJo Earle,WR,UNLV
598,Preston Stone,QB,Northwestern
599,Zen Michalski,OT,Indiana
600,Trevion Cooley,RB,Troy
601,Clayton Smith,EDGE,Arizona State
602,Reid Carrico,LB,West Virginia
603,Keanu Koht,EDGE,Vanderbilt
604,Kyron Ware-Hudson,WR,Penn State
605,Kadarius Calloway,RB,New Mexico State
606,Cade Denhoff,EDGE,Clemson
607,Keli Lawson,LB,UCF
608,Nyland Green,CB,Arizona State
609,Bryce Carter,DL,Texas State
610,Raheem Anderson,IOL,Western Michigan
611,Savion Byrd,IOL,SMU
612,Ethan Calvert,LB,Cal Poly
613,Christian Leary,WR,Western Michigan
614,Avante Dickerson,CB,Arkansas State
615,Jonathan Jefferson,DL,SMU
616,Tywone Malone,DL,Ohio State
617,Dacari Collins,WR,Louisville
618,Damarius McGhee,CB,Florida Atlantic
619,Bram Walden,IOL,Arizona State
620,Armoni Goodwin,RB,UT Martin
621,Reuben Fatheree II,OT,Texas A&M
622,Elliot Donald,DL,Pittsburgh
623,Zaire Patterson,EDGE,Clemson
624,L.J. Johnson Jr.,RB,California
625,Terrence Ferguson II,IOL,Syracuse
626,Prince Kollie,LB,Vanderbilt
627,David Daniel-Sisavanh,S,Troy
628,Raesjon Davis,LB,Oregon State
629,Ty Thompson,TE,Tulane
630,J.P. Benzschawel,IOL,Wisconsin
631,Teddy Prochazka,OT,Nebraska
632,Jayden Ballard,WR,Wisconsin
633,Jaylin Davies,CB,Oklahoma State
634,Deion Colzie,WR,Miami (OH)
635,Kelvin Gilliam,DL,Virginia Tech
636,Barika Kpeenu,RB,North Dakota State
637,Ryan Mosesso,OT,UMass
638,Daylan Carnell,S,Missouri
639,Dylan Rosiek,LB,Illinois
640,Shyheim Brown,S,Florida State
641,Devean Deal,EDGE,TCU
642,Jayden Thomas,WR,Virginia
643,Alton McCaskill IV,RB,Sam Houston State
644,Jerand Bradley,WR,Kansas State
645,Dorion Strawn,OT,Texas State
646,Andrel Anthony,WR,Duke
647,Chamon Metayer,TE,Arizona State
648,Mason Murphy,OT,Auburn
649,Khordae Sydnor,EDGE,Vanderbilt
650,Darian Chestnut,CB,Syracuse
651,Jordan Favors,S,Appalachian State
652,Logan Diggs,RB,Mississippi
653,Jared Brown,WR,South Carolina
654,Joseph Manjack IV,WR,TCU
655,Sean Brown,LB,NC State
656,Jason Henderson,LB,Old Dominion
657,Tiaoalii Savea,DL,Arizona
658,Roy Williams,EDGE,Northern Illinois
659,Cade Zimmerly,IOL,Bowling Green
660,Bert Auburn,K,Miami (FL)
661,Ross James,P,Oregon
662,Kamryn Waites,IOL,Florida
663,Bruno Onwuazor,OT,Virginia State
664,Ashton Grable,IOL,Florida A&M
665,Aki Ogunbiyi,IOL,Colorado
666,Reggie Grimes,EDGE,Memphis
667,Tyler Van Dyke,QB,SMU
668,Zykeivous Walker,DL,Auburn
669,Malcolm Greene,S,UMass
670,E.J. Smith,RB,Texas A&M
671,Turner Corcoran,IOL,Nebraska
672,Demon Clowney,EDGE,South Carolina
673,Jeff Sims,QB,Arizona State
674,Key Lawrence,CB,UCLA
675,Stephen Dix Jr.,LB,Arkansas
676,Chad Lindberg,IOL,North Carolina
677,Bangally Kamara,LB,Kansas
678,Drew Pyne,QB,Bowling Green
679,Tosh Baker,OT,Notre Dame
680,Xavion Alford,S,Arizona State
681,Roydell Williams,RB,Florida State
682,Dominic Bailey,EDGE,Tennessee
683,Payton Zdroik,DL,Air Force
684,Dominic Richardson,RB,Tulsa
685,Courtland Ford,OT,UCLA
686,Jimari Butler,EDGE,LSU
687,Will Shaffer,LB,Abilene Christian
688,Luke Petitbon,IOL,Florida State
689,Ben Bell,EDGE,Virginia Tech
690,Nick Dawkins,IOL,Penn State
691,Ja'Mori Maclin,WR,Kentucky
692,Stefon Thompson,LB,Florida State
693,Devin Neal,S,Virginia
694,D.J. Graham,CB,Kansas
695,Jalen Berger,RB,UCLA
696,Leon Lowery Jr.,LB,Illinois
697,Jahmeer Carter,DL,Virginia
698,Xavier Hill,IOL,Colorado
699,Jordan White,IOL,Vanderbilt
700,Cam Porter,RB,Northwestern
701,Nate Rutchena,TE,UC Davis
702,Gilber Edmond,EDGE,South Carolina
703,Tyree Skipper,S,Louisiana-Lafayette
704,Matthew Sluka,QB,James Madison
705,Tay Yanta II,IOL,North Texas
