pick,player,model_prob,market_prob,edge,abs_edge,model_version,run_timestamp,source,market_timestamp
1,Spencer Fano,0.0,0.0269254150970809,-0.0269254150970809,0.0269254150970809,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
9,Monroe Freeling,0.0814,0.0545508318688736,0.0268491681311264,0.0268491681311264,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
3,David Bailey,0.2406,0.2138833695071467,0.026716630492853305,0.026716630492853305,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
11,Omar Cooper Jr.,0.0264,0.0,0.0264,0.0264,v1,2026-04-17T08:11:29,,
24,Peter Woods,0.0264,0.0,0.0264,0.0264,v1,2026-04-17T08:11:29,,
25,T.J. Parker,0.0264,0.0,0.0264,0.0264,v1,2026-04-17T08:11:29,,
17,Kenyon Sadiq,0.0262,0.0,0.0262,0.0262,v1,2026-04-17T08:11:29,,
18,Kadyn Proctor,0.0262,0.0,0.0262,0.0262,v1,2026-04-17T08:11:29,,
20,Kayden McDonald,0.0262,0.0,0.0262,0.0262,v1,2026-04-17T08:11:29,,
12,Makai Lemon,0.026,0.0,0.026,0.026,v1,2026-04-17T08:11:29,,
23,Cashius Howell,0.026,0.0,0.026,0.026,v1,2026-04-17T08:11:29,,
27,Zion Young,0.026,0.0,0.026,0.026,v1,2026-04-17T08:11:29,,
28,T.J. Parker,0.026,0.0,0.026,0.026,v1,2026-04-17T08:11:29,,
14,Jeremiyah Love,0.0258,0.0,0.0258,0.0258,v1,2026-04-17T08:11:29,,
27,Colton Hood,0.0256,0.0,0.0256,0.0256,v1,2026-04-17T08:11:29,,
9,Francis Mauigoa,0.0382,0.0636426371803526,-0.025442637180352598,0.025442637180352598,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
20,Jermod McCoy,0.0254,0.0,0.0254,0.0254,v1,2026-04-17T08:11:29,,
26,Avieon Terrell,0.0252,0.0,0.0252,0.0252,v1,2026-04-17T08:11:29,,
9,Jordyn Tyson,0.0352,0.0602930246971761,-0.0250930246971761,0.0250930246971761,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
16,Jeremiyah Love,0.025,0.0,0.025,0.025,v1,2026-04-17T08:11:29,,
30,C.J. Allen,0.025,0.0,0.025,0.025,v1,2026-04-17T08:11:29,,
31,Kenyon Sadiq,0.025,0.0,0.025,0.025,v1,2026-04-17T08:11:29,,
32,Max Iheanachor,0.025,0.0,0.025,0.025,v1,2026-04-17T08:11:29,,
12,Jordyn Tyson,0.0248,0.0,0.0248,0.0248,v1,2026-04-17T08:11:29,,
14,Kadyn Proctor,0.0248,0.0,0.0248,0.0248,v1,2026-04-17T08:11:29,,
24,Ty Simpson,0.0248,0.0,0.0248,0.0248,v1,2026-04-17T08:11:29,,
25,Kevin Concepcion,0.0248,0.0,0.0248,0.0248,v1,2026-04-17T08:11:29,,
32,T.J. Parker,0.0248,0.0,0.0248,0.0248,v1,2026-04-17T08:11:29,,
10,Rueben Bain,0.0246,0.0,0.0246,0.0246,v1,2026-04-17T08:11:29,,
2,Rueben Bain Jr.,0.0,0.0244791155339575,-0.0244791155339575,0.0244791155339575,v1,2026-04-17T08:11:29,DraftKings,2026-04-15 15:51:34
12,Akheem Mesidor,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
12,Jeremiyah Love,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
16,Avieon Terrell,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
18,Keldric Faulk,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
19,Avieon Terrell,0.0242,0.0,0.0242,0.0242,v1,2026-04-17T08:11:29,,
