Player (413),Pos,Age,YOE,Prev Team,Prev AAV,Type,Market ValueAAV
Anthony Firkser,TE,31,7,DET,"$1,170,000",UFA,"$1,147,870"
Josiah Deguara,TE,29.1,6,ARI,"$1,170,000",UFA,"$1,430,648"
Donald Parham,TE,28.6,5,PIT,"$1,170,000",UFA,
Jack Driscoll,G,28.9,5,PIT,"$1,170,000",UFA,
Michael Jordan,G,28.1,6,TB,"$1,170,000",UFA,"$1,479,760"
Trystan Colon-Castillo,G,27.9,6,DET,"$1,170,000",UFA,"$1,638,994"
Max Scharping,G,29.6,7,PIT,"$1,170,000",UFA,"$1,292,248"
Daniel Brunskill,G,32.1,7,MIA,"$1,170,000",UFA,"$2,803,089"
Sam Mustipher,C,29.6,6,DEN,"$1,170,000",UFA,"$1,748,339"
Andre James,C,28.8,7,LAC,"$1,170,000",UFA,"$1,268,619"
Chazz Surratt,LB,29.1,4,SEA,"$1,150,000",UFA,
Daniel Faalele,G,26.3,4,BAL,"$1,115,085",UFA,"$10,523,822"
Damarri Mathis,CB,26.9,4,CAR,"$1,109,741",UFA,
Jalyn Armour-Davis,CB,26.5,4,TEN,"$1,105,082",UFA,"$1,838,261"
Zamir White,RB,26.4,4,LV,"$1,100,983",UFA,"$848,431"
Quinton Bell,ED,29.8,4,MIA,"$1,100,000",UFA,"$1,513,384"
Chris Rumph II,ED,27.3,5,NO,"$1,100,000",UFA,"$1,419,472"
Janarius Robinson,ED,27.8,5,KC,"$1,100,000",UFA,"$1,844,782"
Sam Kamara,DL,28.2,3,CLE,"$1,100,000",UFA,
Sam Roberts,DL,27.9,3,ATL,"$1,100,000",UFA,
Thayer Munford Jr.,RT,26.4,4,NE,"$1,100,000",UFA,"$1,274,162"
Lucas Niang,RT,27.5,4,WAS,"$1,100,000",UFA,
Jamarco Jones,RT,29.8,6,DET,"$1,100,000",UFA,
D’Anthony Bell,S,29.3,3,CAR,"$1,100,000",UFA,"$1,928,056"
Kemon Hall,CB,28.8,4,TEN,"$1,100,000",UFA,
Jack Jones,CB,28.2,4,MIA,"$1,100,000",UFA,"$5,080,833"
Darren Hall,CB,25.8,4,ARI,"$1,100,000",UFA,"$1,141,126"
D'Angelo Ross,CB,29.3,6,CLE,"$1,100,000",UFA,
Sam Webb,CB,27.8,3,CLE,"$1,100,000",UFA,
Kaiir Elam,CB,24.8,4,TEN,"$1,100,000",UFA,"$1,181,293"
Jon Rhattigan,LB,27.1,5,LV,"$1,100,000",UFA,
Brian Asamoah,LB,25.9,4,CIN,"$1,100,000",UFA,
J.J. Russell,LB,27.4,4,ARI,"$1,100,000",UFA,
Tarron Jackson,LB,27.7,3,SF,"$1,100,000",UFA,
Jacob Phillips,LB,26.9,5,IND,"$1,100,000",UFA,
Skylar Thompson,QB,28.8,4,PIT,"$1,100,000",UFA,
Ronnie Rivers,RB,27.1,4,LAR,"$1,100,000",UFA,
Dameon Pierce,RB,26,4,KC,"$1,100,000",UFA,
Julius Chestnut,RB,25.3,4,TEN,"$1,100,000",UFA,"$1,171,778"
David Sills,WR,30.6,3,ATL,"$1,100,000",UFA,
Teagan Quitoriano,TE,26,4,ATL,"$1,100,000",UFA,
Shane Zylstra,TE,29.3,4,DET,"$1,100,000",UFA,"$1,249,940"
Tyree Jackson,TE,28.3,3,WAS,"$1,100,000",UFA,
Brock Hoffman,C,26.7,3,DAL,"$1,100,000",UFA,
Hassan Haskins,RB,26.2,4,LAC,"$1,088,055",UFA,"$1,430,001"
Ben VanSumeren,FB,25.8,3,PHI,"$1,055,000",UFA,
Austin Deculus,LT,27,3,LAC,"$1,035,000",UFA,
Jeremiah Moon,ED,26.5,3,PIT,"$1,030,000",UFA,
Arron Mosby,ED,26.9,3,GB,"$1,030,000",UFA,
Yodny Cajuste,LT,30,4,MIA,"$1,030,000",UFA,
Derion Kendrick,CB,25.5,4,LAR,"$1,030,000",UFA,"$2,217,324"
Cameron Mitchell,CB,24.5,3,IND,"$1,030,000",UFA,
Chase Lucas,CB,29,3,SF,"$1,030,000",UFA,
Buddy Johnson,LB,27,4,IND,"$1,030,000",UFA,
Segun Olubi,LB,26.3,3,IND,"$1,030,000",UFA,
Hendon Hooker,QB,28.2,2,NYJ,"$1,030,000",UFA,
Keaontay Ingram,RB,26.3,3,KC,"$1,030,000",UFA,
Zonovan Knight,RB,24.9,3,ARI,"$1,030,000",UFA,
Tyler Goodson,RB,25.3,3,IND,"$1,030,000",UFA,
Cody White,WR,27.2,3,SEA,"$1,030,000",UFA,
Alex Bachman,WR,29.8,6,LV,"$1,030,000",UFA,"$1,245,813"
DJ Montgomery,WR,29.2,4,IND,"$1,030,000",UFA,
James Mitchell,TE,26.6,3,CAR,"$1,030,000",UFA,
Blake Whiteheart,TE,25.9,3,CLE,"$1,030,000",UFA,
Travis Vokolek,TE,27.8,2,ARI,"$1,030,000",UFA,
Yasir Durant,T,27.8,3,NE,"$1,030,000",UFA,
Ryan McCollum,C,28,3,PIT,"$1,030,000",UFA,
Perrion Winfrey,DL,25.6,2,DAL,"$1,017,500",UFA,
D.J. Davidson,DL,26.2,4,NYG,"$1,003,529",UFA,"$1,114,820"
Eric Johnson,DL,27.7,4,IND,"$995,185",UFA,"$1,025,798"
Savion Washington,T,,,LAC,"$993,333",UFA,
Zeke Correll,C,25.3,,MIN,"$991,667",UFA,
Tycen Anderson,S,26.8,4,CIN,"$991,521",UFA,"$1,751,124"
Ty Chandler,RB,27.8,4,MIN,"$989,710",UFA,"$1,386,585"
Anthony Johnson Jr.,CB,26.2,2,NYG,"$980,941",UFA,
Damone Clark,LB,25.7,4,HOU,"$975,638",UFA,"$1,467,262"
Kyu Blu Kelly,CB,24.8,2,LV,"$972,500",UFA,
P.J. Mustipher,DL,26.3,1,ARI,"$960,000",UFA,
Luke Tenuta,LT,26.5,3,IND,"$960,000",UFA,
Matt Araiza,P,25.8,2,KC,"$960,000",ERFA,
Devon Key,S,27.8,2,DEN,"$960,000",ERFA,
Anthony Kendall,CB,26.2,2,CLE,"$960,000",UFA,
Eric Scott Jr.,CB,26.6,2,KC,"$960,000",UFA,
Deneric Prince,RB,25.9,1,NE,"$960,000",UFA,
Popo Aumavae,DL,27.2,2,CAR,"$948,333",UFA,
Ja'Sir Taylor,CB,27.2,4,NYJ,"$948,003",UFA,"$1,110,560"
Jaquelin Roy,DL,25.3,3,NE,"$915,000",UFA,
Tucker Fisk,TE,27.1,3,LAC,"$915,000",UFA,
Mohamoud Diabate,LB,24.8,3,CLE,"$906,667",UFA,
Bryce Ford-Wheaton,WR,26,3,NYG,"$905,000",UFA,
