projection_error_sigma,total_sigma,decimal_odds,breakeven_prob,projection_minus_line,p_over,edge_prob,ev_per_1_unit,ev_percent
0,68.488252,1.95,0.5128205128205129,27,0.6532937146058462,0.1404732017853333,0.2739227434814,27.39227434814
0,68.488252,1.95,0.5128205128205129,28,0.6586675098730354,0.14584699705252246,0.2844016442524189,28.44016442524189
0,68.488252,1.95,0.5128205128205129,29,0.6640093232806821,0.1511888104601692,0.29481818039733,29.481818039733
0,68.488252,1.95,0.5128205128205129,30,0.6693182132617195,0.1564977004412066,0.30517051586035293,30.517051586035294
0,68.488252,1.95,0.5128205128205129,31,0.6745932580452039,0.16177274522469098,0.31545685318814753,31.545685318814755
0,68.488252,1.95,0.5128205128205129,32,0.6798335561198192,0.16701304329930633,0.32567543443364744,32.56754344336474
0,68.488252,1.95,0.5128205128205129,33,0.6850382266772079,0.17221771385669504,0.33582454202055545,33.582454202055544
0,68.488252,1.95,0.5128205128205129,34,0.6902064100347889,0.177385897214276,0.34590249956783825,34.59024995678382
0,68.488252,1.95,0.5128205128205129,35,0.6953372680377502,0.18251675521723731,0.3559076726736129,35.59076726736129
0,68.488252,1.95,0.5128205128205129,36,0.7004299844399333,0.18760947161942043,0.3658384696578699,36.58384696578699
0,68.488252,1.95,0.5128205128205129,37,0.7054837652633545,0.19266325244284166,0.37569334226354134,37.56933422635414
0,68.488252,1.95,0.5128205128205129,38,0.7104978391361388,0.19767732631562596,0.3854707863154707,38.54707863154707
0,68.488252,1.95,0.5128205128205129,39,0.71547145760867,0.20265094478815715,0.3951693423369066,39.51693423369066
0,68.488252,1.95,0.5128205128205129,40,0.72040389544779,0.20758338262727716,0.4047875961231906,40.47875961231906
0,68.488252,2.0,0.5,0,0.5,0.0,0.0,0.0
0,68.488252,2.0,0.5,1,0.5058247669357622,0.005824766935762171,0.011649533871524342,1.1649533871524342
0,68.488252,2.0,0.5,2,0.5116482922409993,0.01164829224099928,0.02329658448199856,2.329658448199856
0,68.488252,2.0,0.5,3,0.5174693350791425,0.0174693350791425,0.034938670158285,3.4938670158285
0,68.488252,2.0,0.5,4,0.5232866562006897,0.023286656200689704,0.04657331240137941,4.657331240137941
0,68.488252,2.0,0.5,5,0.5290990187346243,0.029099018734624282,0.058198037469248565,5.8198037469248565
0,68.488252,2.0,0.5,6,0.5349051889773018,0.03490518897730177,0.06981037795460354,6.981037795460354
0,68.488252,2.0,0.5,7,0.5407039371779638,0.040703937177963834,0.08140787435592767,8.140787435592767
0,68.488252,2.0,0.5,8,0.5464940383200472,0.04649403832004717,0.09298807664009434,9.298807664009434
0,68.488252,2.0,0.5,9,0.5522742728974601,0.05227427289746012,0.10454854579492023,10.454854579492023
0,68.488252,2.0,0.5,10,0.5580434276850068,0.05804342768500681,0.11608685537001362,11.608685537001362
0,68.488252,2.0,0.5,11,0.5638002965021484,0.06380029650214836,0.12760059300429671,12.76005930042967
0,68.488252,2.0,0.5,12,0.5695436809692986,0.06954368096929864,0.13908736193859728,13.908736193859728
0,68.488252,2.0,0.5,13,0.5752723912558668,0.07527239125586682,0.15054478251173364,15.054478251173364
0,68.488252,2.0,0.5,14,0.5809852468192658,0.08098524681926578,0.16197049363853155,16.197049363853154
0,68.488252,2.0,0.5,15,0.5866810771341253,0.08668107713412532,0.17336215426825063,17.336215426825063
0,68.488252,2.0,0.5,16,0.5923587224109577,0.09235872241095766,0.18471744482191532,18.471744482191532
0,68.488252,2.0,0.5,17,0.5980170343035403,0.09801703430354025,0.1960340686070805,19.60340686070805
0,68.488252,2.0,0.5,18,0.603654876604302,0.10365487660430195,0.2073097532086039,20.730975320860388
0,68.488252,2.0,0.5,19,0.6092711259270067,0.10927112592700672,0.21854225185401344,21.854225185401344
0,68.488252,2.0,0.5,20,0.614864672376058,0.11486467237605802,0.22972934475211604,22.972934475211602
0,68.488252,2.0,0.5,21,0.6204344202017582,0.12043442020175821,0.24086884040351642,24.08688404035164
0,68.488252,2.0,0.5,22,0.6259792884408845,0.12597928844088446,0.2519585768817689,25.195857688176893
0,68.488252,2.0,0.5,23,0.6314982115419572,0.13149821154195718,0.26299642308391435,26.299642308391434
0,68.488252,2.0,0.5,24,0.6369901399746066,0.13699013997460663,0.27398027994921326,27.398027994921325
0,68.488252,2.0,0.5,25,0.6424540408224595,0.1424540408224595,0.284908081644919,28.4908081644919
0,68.488252,2.0,0.5,26,0.6478888983589953,0.14788889835899532,0.29577779671799065,29.577779671799064
0,68.488252,2.0,0.5,27,0.6532937146058462,0.15329371460584618,0.30658742921169235,30.658742921169235
0,68.488252,2.0,0.5,28,0.6586675098730354,0.15866750987303535,0.3173350197460707,31.73350197460707
0,68.488252,2.0,0.5,29,0.6640093232806821,0.16400932328068207,0.32801864656136415,32.801864656136416
0,68.488252,2.0,0.5,30,0.6693182132617195,0.16931821326171947,0.33863642652343895,33.8636426523439
0,68.488252,2.0,0.5,31,0.6745932580452039,0.17459325804520387,0.34918651609040774,34.91865160904077
0,68.488252,2.0,0.5,32,0.6798335561198192,0.17983355611981922,0.35966711223963843,35.96671122396384
0,68.488252,2.0,0.5,33,0.6850382266772079,0.18503822667720793,0.37007645335441586,37.00764533544159
0,68.488252,2.0,0.5,34,0.6902064100347889,0.1902064100347889,0.3804128200695778,38.04128200695778
0,68.488252,2.0,0.5,35,0.6953372680377502,0.1953372680377502,0.3906745360755004,39.06745360755004
0,68.488252,2.0,0.5,36,0.7004299844399333,0.20042998443993332,0.40085996887986663,40.08599688798667
