player,player_norm,player_id,season,week,team,opponent,game_id,market_key,line,over_price,under_price,projection,projection_minus_line,edge,recommended_side,recommended_prob,recommended_ev_percent,recommendation
J.K. Dobbins,jk dobbins,19245,2024,12,DEN,,887b10368f0b3f33a8c47e955736da89,player_rush_yds,45.5,-110.0,-110,57.5,12.0,12.0,over,0.61795,17.97227272727273,over
Nick Chubb,nick chubb,17246,2024,9,FA,,fc022a0b74f3182e2da491dfe4276301,player_rush_yds,54.5,-110.0,-110,66.84,12.340000000000003,12.340000000000003,over,0.61795,17.97227272727273,over
Zach Charbonnet,zach charbonnet,23152,2024,4,SEA,Detroit Lions,2b7f812133cedc184625d7bc8362564a,player_rush_yds,19.5,-110.0,-110,26.42,6.920000000000002,6.920000000000002,over,0.61775,17.934090909090916,over
Ezekiel Elliott,ezekiel elliott,15498,2024,4,FA,,b08196b0745d9e2e0bebfe8627fc5a1f,player_rush_yds,24.5,-110.0,-110,34.26,9.759999999999998,9.759999999999998,over,0.6177,17.92454545454546,over
Kendre Miller,kendre miller,24360,2024,14,NO,New York Giants,20f2d85ab93463d3c7dbe2573da7f892,player_rush_yds,25.5,-110.0,-110,15.85,-9.65,-9.65,under,0.6173,17.848181818181818,under
Travis Etienne Jr.,travis etienne,19231,2024,2,NO,,111ac41e21c6f16a2d3d1511f07e2004,player_rush_yds,48.5,-110.0,-110,61.07,12.57,12.57,over,0.61715,17.81954545454546,over
Kyren Williams,kyren williams,23059,2024,3,LAR,San Francisco 49ers,f89d2da2d1b692de14ddf77e186cc5c7,player_rush_yds,61.5,-110.0,-110,75.64,14.14,14.14,over,0.61685,17.76227272727273,over
Tyrone Tracy Jr.,tyrone tracy,22980,2024,16,NYG,Atlanta Falcons,9c6ae1f00e07b696e2dd19a0efb7be8f,player_rush_yds,45.5,-110.0,-110,57.59,12.090000000000003,12.090000000000003,over,0.6164,17.676363636363636,over
Javonte Williams,javonte williams,22739,2024,10,DAL,,d4901034c9f4ee931bc6971a4b089209,player_rush_yds,34.5,-110.0,-110,43.79,9.29,9.29,over,0.6161,17.619090909090907,over
Jordan Mason,jordan mason,22969,2024,7,MIN,,a0b429ad5863438f4550ced4f368d2e2,player_rush_yds,57.5,-110.0,-110,69.6,12.099999999999994,12.099999999999994,over,0.61565,17.53318181818183,over
Tony Pollard,tony pollard,18705,2024,11,TEN,Minnesota Vikings,6aa05bdde84274ea82472f0bc79baaad,player_rush_yds,51.5,-110.0,-110,63.63,12.130000000000003,12.130000000000003,over,0.61555,17.514090909090918,over
Kimani Vidal,kimani vidal,26355,2024,8,LAC,New Orleans Saints,70c540bd6e70676319e44a7dd02cbd38,player_rush_yds,17.5,-110.0,-110,24.37,6.870000000000001,6.870000000000001,over,0.61475,17.36136363636365,over
James Cook,james cook,22958,2024,7,BUF,Tennessee Titans,4084732a953c2a15d46aca93da86fe87,player_rush_yds,59.5,-110.0,-110,71.2,11.700000000000003,11.700000000000003,over,0.6147,17.35181818181819,over
Kimani Vidal,kimani vidal,26355,2024,14,LAC,Kansas City Chiefs,c70e1ecbef22c98419d4707199d050af,player_rush_yds,15.5,-110.0,-110,22.45,6.949999999999999,6.949999999999999,over,0.61355,17.132272727272735,over
James Cook,james cook,22958,2024,11,BUF,Kansas City Chiefs,2ac4732d168fd3fd0958719e2b11aad1,player_rush_yds,53.5,-110.0,-110,65.06,11.560000000000002,11.560000000000002,over,0.6135,17.12272727272729,over
Jordan Mason,jordan mason,22969,2024,10,MIN,,853cc3b59ffe65a55a55d799789bc726,player_rush_yds,20.5,-110.0,-110,30.24,9.739999999999998,9.739999999999998,over,0.61345,17.113181818181832,over
Jaylen Warren,jaylen warren,24209,2024,1,PIT,Atlanta Falcons,92665529cce6b8089e793d1e7d5e4b66,player_rush_yds,26.5,-110.0,-110,36.42,9.920000000000002,9.920000000000002,over,0.61335,17.09409090909091,over
David Montgomery,david montgomery,18239,2024,13,HOU,,818a0f592da4fc2dea2a8caa3170bd6f,player_rush_yds,52.5,-110.0,-110,64.06,11.560000000000002,11.560000000000002,over,0.61315,17.055909090909093,over
Gus Edwards,gus edwards,17687,2024,14,FA,,c70e1ecbef22c98419d4707199d050af,player_rush_yds,38.5,-110.0,-110,47.97,9.469999999999999,9.469999999999999,over,0.6127,16.970000000000006,over
Bucky Irving,bucky irving,25981,2024,17,TB,Carolina Panthers,cb4060acc9d027ca0069619ef9983415,player_rush_yds,87.5,-110.0,-110,73.8,-13.700000000000003,-13.700000000000003,under,0.6126,16.950909090909107,under
James Cook,james cook,22958,2024,4,BUF,Baltimore Ravens,ce925c8cb892e1806399345e7885828d,player_rush_yds,53.5,-110.0,-110,63.94,10.439999999999998,10.439999999999998,over,0.61235,16.90318181818181,over
Aaron Jones,aaron jones,16673,2024,7,MIN,Detroit Lions,497242e77fc7f2e1fa4cc70a2bd37b20,player_rush_yds,46.5,-110.0,-110,58.91,12.409999999999997,12.409999999999997,over,0.6111,16.664545454545454,over
Ty Chandler,ty chandler,19471,2024,1,NO,,c483f5c8e0ee5f1f5abdd75870eeeffc,player_rush_yds,29.5,-110.0,-110,38.3,8.799999999999997,8.799999999999997,over,0.61095,16.635909090909095,over
Trey Benson,trey benson,25388,2024,3,ARI,,e61fbdc294fce579705fa0ed6de85ce2,player_rush_yds,13.5,-110.0,-110,20.13,6.629999999999999,6.629999999999999,over,0.61035,16.521363636363628,over
Jonathan Taylor,jonathan taylor,19217,2024,8,IND,Houston Texans,e07e64de78a6095754d2a048255dadac,player_rush_yds,68.5,-110.0,-110,81.2,12.700000000000003,12.700000000000003,over,0.61025,16.502272727272725,over
Jamaal Williams,jamaal williams,16424,2024,5,FA,,5e0d59f75b7f9056461e2970aca2a6cb,player_rush_yds,14.5,-115.0,-105,22.24,7.739999999999998,7.739999999999998,over,0.6227,16.417826086956524,over
Patrick Taylor,patrick taylor,19544,2024,16,SF,Miami Dolphins,b0e2f4e7023b4f29ca1e1e64f93726f2,player_rush_yds,44.5,-110.0,-110,55.91,11.409999999999997,11.409999999999997,over,0.60955,16.36863636363638,over
Jerome Ford,jerome ford,22921,2024,4,WAS,,3f180e883b429700dd32ff2133ac37ef,player_rush_yds,47.5,-110.0,-110,58.89,11.39,11.39,over,0.60945,16.349545454545467,over
Ezekiel Elliott,ezekiel elliott,15498,2024,11,FA,,81c2170ca58c6a837e5c0f1528e8513c,player_rush_yds,13.5,-110.0,-110,20.25,6.75,6.75,over,0.6094,16.34000000000001,over
Bucky Irving,bucky irving,25981,2024,10,TB,San Francisco 49ers,853cc3b59ffe65a55a55d799789bc726,player_rush_yds,34.5,-110.0,-110,43.66,9.159999999999997,9.159999999999997,over,0.60875,16.215909090909097,over
Dameon Pierce,dameon pierce,22947,2024,8,PHI,,e07e64de78a6095754d2a048255dadac,player_rush_yds,13.5,-110.0,-110,20.24,6.739999999999998,6.739999999999998,over,0.608,16.07272727272727,over
Saquon Barkley,saquon barkley,17240,2024,4,PHI,Tampa Bay Buccaneers,6b08b0416089dbb0459c208f5c0c6d41,player_rush_yds,76.5,-110.0,-110,88.89,12.39,12.39,over,0.60755,15.986818181818197,over
Ray Davis,ray davis,26191,2024,1,BUF,Arizona Cardinals,7a5e353202d40a844491fa5753bc3097,player_rush_yds,16.5,-110.0,-110,23.44,6.940000000000001,6.940000000000001,over,0.60745,15.967727272727284,over
Miles Sanders,miles sanders,18283,2024,2,FA,,b4769cda12183128858f49f475aabfce,player_rush_yds,26.5,-110.0,-110,35.6,9.100000000000001,9.100000000000001,over,0.6073,15.939090909090902,over
Travis Etienne Jr.,travis etienne,19231,2024,14,NO,,7d1198f17462901352e686d8d9515232,player_rush_yds,38.5,-110.0,-110,47.76,9.259999999999998,9.259999999999998,over,0.60725,15.929545454545446,over
Jonathon Brooks,jonathon brooks,26148,2024,12,CAR,Kansas City Chiefs,2c895731f7e3bd3effe4e87779fbdcc2,player_rush_yds,16.5,-110.0,-110,23.46,6.960000000000001,6.960000000000001,over,0.60725,15.929545454545446,over
D'Andre Swift,dandre swift,19210,2024,12,CHI,Minnesota Vikings,bc6d508d57f822879df4dbc3c4465226,player_rush_yds,50.5,-110.0,-110,61.33,10.829999999999998,10.829999999999998,over,0.60565,15.624090909090915,over
Tony Pollard,tony pollard,18705,2024,15,TEN,Cincinnati Bengals,f6d5d91ea4480042265698647a6120f6,player_rush_yds,62.5,-110.0,-110,74.96,12.459999999999994,12.459999999999994,over,0.6055,15.595454545454556,over
Zach Charbonnet,zach charbonnet,23152,2024,6,SEA,San Francisco 49ers,0dac14546d6008893a8b3b6c417472a6,player_rush_yds,13.5,-110.0,-110,20.07,6.57,6.57,over,0.6055,15.595454545454556,over
Tony Pollard,tony pollard,18705,2024,12,TEN,Houston Texans,56f4bfb8e21ec6003f31a080be045fc3,player_rush_yds,59.5,-110.0,-110,70.24,10.739999999999995,10.739999999999995,over,0.60545,15.5859090909091,over
Jonathan Taylor,jonathan taylor,19217,2024,12,IND,Detroit Lions,2f2541411e68f807dc47d527f5dd4cba,player_rush_yds,69.5,-110.0,-110,81.7,12.200000000000003,12.200000000000003,over,0.60535,15.5668181818182,over
Kareem Hunt,kareem hunt,16425,2024,9,FA,,8f751d18969af50ec341e0b282e5b4d6,player_rush_yds,65.5,-110.0,-110,77.46,11.959999999999994,11.959999999999994,over,0.60495,15.490454545454547,over
De'Von Achane,devon achane,23136,2024,16,MIA,San Francisco 49ers,b0e2f4e7023b4f29ca1e1e64f93726f2,player_rush_yds,48.5,-110.0,-110,59.41,10.909999999999997,10.909999999999997,over,0.60465,15.43318181818183,over
Zamir White,zamir white,20095,2024,2,LV,Baltimore Ravens,5a2bfc721fb2300d4578743aee7ad891,player_rush_yds,44.5,-110.0,-110,54.96,10.46,10.46,over,0.6037,15.251818181818189,over
Breece Hall,breece hall,22982,2024,5,NYJ,Minnesota Vikings,b782886bcc4874123d3bb50e5d1e88c3,player_rush_yds,49.5,-110.0,-110,60.16,10.659999999999997,10.659999999999997,over,0.60355,15.22318181818183,over
Samaje Perine,samaje perine,16423,2024,3,CIN,,bd907bcbaaefa56a30c4fa2c57281a51,player_rush_yds,17.5,-110.0,-110,24.23,6.73,6.73,over,0.6035,15.213636363636374,over
