position,line_bucket,is_favorite,total_bucket,rows,over_hit_rate,under_hit_rate,push_rate,avg_over_price,avg_under_price,blind_over_roi,blind_under_roi
WR,60-75,False,low_total_<42,20.0,0.3,0.7,0.0,-110.6,-99.5,-0.42727272727272725,0.34090909090909094
WR,60-75,False,mid_total_42_47,43.0,0.46511627906976744,0.5348837209302325,0.0,-110.11627906976744,-109.88372093023256,-0.11205073995771667,0.022148394241417544
WR,60-75,False,high_total_47_plus,33.0,0.48484848484848486,0.5151515151515151,0.0,-110.0,-110.0,-0.07438016528925616,-0.01652892561983467
WR,60-75,True,low_total_<42,14.0,0.7142857142857143,0.2857142857142857,0.0,-110.0,-110.0,0.3636363636363637,-0.45454545454545453
WR,60-75,True,mid_total_42_47,43.0,0.46511627906976744,0.5348837209302325,0.0,-110.0,-110.0,-0.11205073995771667,0.021141649048625834
WR,60-75,True,high_total_47_plus,32.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,75+,False,low_total_<42,3.0,0.3333333333333333,0.6666666666666666,0.0,-110.0,-110.0,-0.3636363636363636,0.27272727272727276
WR,75+,False,mid_total_42_47,21.0,0.5238095238095238,0.47619047619047616,0.0,-110.0,-110.0,4.229421046191072e-17,-0.09090909090909087
WR,75+,False,high_total_47_plus,18.0,0.5,0.5,0.0,-110.11111111111111,-109.88888888888889,-0.045454545454545414,-0.04451926674148892
WR,75+,True,low_total_<42,1.0,1.0,0.0,0.0,-110.0,-110.0,0.9090909090909092,-1.0
WR,75+,True,mid_total_42_47,6.0,0.5,0.5,0.0,-110.0,-110.0,-0.045454545454545414,-0.045454545454545414
WR,75+,True,high_total_47_plus,10.0,0.6,0.4,0.0,-110.0,-110.0,0.1454545454545455,-0.23636363636363633
