player_norm,team,player,source_count,sources,pass_att_mean,pass_att_median,pass_att_std_sources,pass_att_min,pass_att_max,pass_yds_mean,pass_yds_median,pass_yds_std_sources,pass_yds_min,pass_yds_max,pass_td_mean,pass_td_median,pass_td_std_sources,pass_td_min,pass_td_max,int_mean,int_median,int_std_sources,int_min,int_max,rush_att_mean,rush_att_median,rush_att_std_sources,rush_att_min,rush_att_max,rush_yds_mean,rush_yds_median,rush_yds_std_sources,rush_yds_min,rush_yds_max,rush_td_mean,rush_td_median,rush_td_std_sources,rush_td_min,rush_td_max,fpts_mean,fpts_median,fpts_std_sources,fpts_min,fpts_max,pass_yds_range_sources,pass_yds_cv_sources,low_source_count
bo nix,DEN,Bo Nix,3,"ESPN_CBS,FantasyPros,NFL_FFToday",34.1,33.5,1.6822603841260733,32.8,36.0,229.66666666666666,227.8,5.159780357082398,225.7,235.5,1.7,1.7,0.19999999999999996,1.5,1.9,0.5,0.5,0.09999999999999998,0.4,0.6,5.566666666666666,5.5,0.40414518843273795,5.2,6.0,26.366666666666664,26.4,0.5507570547286091,25.8,26.9,0.19999999999999998,0.2,0.09999999999999999,0.1,0.3,19.166666666666668,19.1,1.0016652800877812,18.2,20.2,9.800000000000011,0.022466387621548903,False
jayden daniels,WAS,Jayden Daniels,3,"ESPN_CBS,FantasyPros,NFL_FFToday",30.866666666666664,30.8,0.11547005383792475,30.8,31.0,228.70000000000002,228.1,1.7776388834631078,227.3,230.7,1.6333333333333335,1.6,0.1527525231651947,1.5,1.8,0.4666666666666666,0.5,0.15275252316519466,0.3,0.6,9.066666666666666,8.7,0.8144527815247079,8.5,10.0,50.46666666666667,50.9,2.1825062046494454,48.1,52.4,0.4000000000000001,0.4,6.798699777552591e-17,0.4,0.4,22.166666666666668,21.9,0.5507570547286107,21.8,22.8,3.3999999999999773,0.007772797916323165,False
bryce young,CAR,Bryce Young,3,"ESPN_CBS,FantasyPros,NFL_FFToday",33.233333333333334,33.2,1.7502380790433436,31.5,35.0,222.79999999999998,225.6,5.199999999999991,216.8,226.0,1.3333333333333333,1.3,0.057735026918962505,1.3,1.4,0.7333333333333334,0.7,0.05773502691896263,0.7,0.8,3.0666666666666664,3.0,0.3055050463303894,2.8,3.4,17.599999999999998,17.4,0.7211102550927972,17.0,18.4,0.16666666666666666,0.2,0.05773502691896258,0.1,0.2,15.833333333333334,15.6,0.5859465277082315,15.4,16.5,9.199999999999989,0.023339317773788115,False
jalen hurts,PHI,Jalen Hurts,3,"ESPN_CBS,FantasyPros,NFL_FFToday",28.2,27.6,2.553429066960741,26.0,31.0,221.03333333333333,219.1,3.9703064533274133,218.4,225.6,1.6333333333333335,1.6,0.1527525231651947,1.5,1.8,0.4666666666666666,0.5,0.05773502691896256,0.4,0.5,9.1,9.0,0.26457513110645914,8.9,9.4,41.43333333333334,40.9,2.0526405757787543,39.7,43.7,0.8333333333333334,0.8,0.05773502691896256,0.8,0.9,23.400000000000002,23.1,0.7937253933193771,22.8,24.3,7.199999999999989,0.017962478298872327,False
caleb williams,CHI,Caleb Williams,3,"ESPN_CBS,FantasyPros,NFL_FFToday",32.800000000000004,31.8,2.8354893757515645,30.6,36.0,218.53333333333333,217.8,14.813619859215141,204.1,233.7,1.2666666666666666,1.3,0.05773502691896263,1.2,1.3,0.7333333333333334,0.7,0.1527525231651947,0.6,0.9,4.8,5.0,0.34641016151377524,4.4,5.0,25.5,25.9,0.7810249675906642,24.6,26.0,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,15.566666666666668,15.8,0.493288286231625,15.0,15.9,29.599999999999994,0.0677865460305757,False
drake maye,NE,Drake Maye,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.666666666666668,31.0,1.1547005383792515,31.0,33.0,216.73333333333335,215.8,1.7925772879665058,215.6,218.8,1.5,1.5,0.19999999999999996,1.3,1.7,0.8333333333333334,0.8,0.05773502691896257,0.8,0.9,4.133333333333334,4.4,1.026320287889377,3.0,5.0,31.73333333333333,30.2,5.950070027599114,26.7,38.3,0.16666666666666666,0.2,0.05773502691896258,0.1,0.2,17.366666666666667,17.2,1.6563010998406464,15.8,19.1,3.200000000000017,0.008270888747922972,False
cam ward,TEN,Cam Ward,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.233333333333334,31.0,0.6806859285554049,30.7,32.0,212.6,211.9,8.870738413458044,204.1,221.8,1.1333333333333335,1.1,0.057735026918962505,1.1,1.2,0.8333333333333334,0.8,0.05773502691896257,0.8,0.9,3.9333333333333336,4.0,0.20816659994661305,3.7,4.1,15.933333333333332,15.4,1.0115993936995684,15.3,17.1,0.10000000000000002,0.1,1.6996749443881478e-17,0.1,0.1,14.033333333333333,14.1,0.20816659994661255,13.8,14.2,17.700000000000017,0.04172501605577631,False
daniel jones,IND,Daniel Jones,3,"ESPN_CBS,FantasyPros,NFL_FFToday",30.96666666666667,30.1,3.677408507812714,27.8,35.0,207.20000000000002,204.0,12.705904139414864,196.4,221.2,1.2333333333333334,1.2,0.15275252316519458,1.1,1.4,0.7333333333333334,0.7,0.05773502691896263,0.7,0.8,5.933333333333334,5.8,1.0066445913694333,5.0,7.0,28.2,27.2,3.2186953878862163,25.6,31.8,0.2333333333333333,0.2,0.05773502691896256,0.2,0.3,15.966666666666669,15.8,1.0598742063723103,15.0,17.1,24.799999999999983,0.06132193117478216,False
spencer rattler,NO,Spencer Rattler,3,"ESPN_CBS,FantasyPros,NFL_FFToday",31.7,31.6,0.2645751311064588,31.5,32.0,197.29999999999998,191.0,10.91192008768393,191.0,209.9,1.0666666666666667,1.1,0.05773502691896263,1.0,1.1,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,4.066666666666666,3.7,0.8144527815247077,3.5,5.0,20.5,20.8,0.9848857801796117,19.4,21.3,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,13.066666666666668,13.0,0.5033222956847166,12.6,13.6,18.900000000000006,0.05530623460559519,False
justin fields,KC,Justin Fields,3,"ESPN_CBS,FantasyPros,NFL_FFToday",29.0,29.0,0.10000000000000142,28.9,29.1,194.03333333333333,194.8,8.476044675043507,185.2,202.1,1.0333333333333334,1.0,0.05773502691896263,1.0,1.1,0.7999999999999999,0.8,0.10000000000000003,0.7,0.9,7.566666666666666,7.4,0.37859388972001823,7.3,8.0,40.5,39.9,3.340658617698014,37.5,44.1,0.3666666666666667,0.4,0.057735026918962595,0.3,0.4,16.666666666666668,16.5,0.8621678104251714,15.9,17.6,16.900000000000006,0.043683446186446526,False
jaxson dart,NYG,Jaxson Dart,3,"ESPN_CBS,FantasyPros,NFL_FFToday",0.6,0.9,0.5196152422706632,0.0,0.9,5.0,5.1,0.6557438524302001,4.3,5.6,0.03333333333333333,0.0,0.05773502691896259,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.1,0.05773502691896258,0.0,0.1,2.1666666666666665,1.7,1.942506971244462,0.5,4.3,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.6,0.2645751311064591,0.5,1.0,1.2999999999999998,0.13114877048604,False
jake browning,TB,Jake Browning,2,"ESPN_CBS,FantasyPros",0.9,0.9,0.0,0.9,0.9,7.2,7.2,0.0,7.2,7.2,0.1,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.5,0.5,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.6,0.6,0.0,0.0,True
