player,player_norm,team,source,pass_att,pass_yds,pass_td,int,rush_att,rush_yds,rush_td,fpts
Jaxson Dart,jaxson dart,NYG,FantasyPros,0.9,5.1,0.0,0.0,0.1,1.7,0.0,0.6
Jake Browning,jake browning,TB,FantasyPros,0.9,7.2,0.1,0.0,0.1,0.5,0.0,0.6
Marcus Mariota,marcus mariota,WAS,FantasyPros,0.8,5.9,0.1,0.0,0.2,0.9,0.0,0.6
Nick Mullens,nick mullens,JAC,FantasyPros,0.8,6.4,0.1,0.0,0.2,0.6,0.0,0.6
Zach Wilson,zach wilson,NO,FantasyPros,0.9,6.5,0.1,0.0,0.2,0.8,0.0,0.6
Gardner Minshew II,gardner minshew,ARI,FantasyPros,0.9,6.3,0.1,0.0,0.2,0.6,0.0,0.5
Jacoby Brissett,jacoby brissett,ARI,FantasyPros,0.8,6.0,0.1,0.0,0.2,0.8,0.0,0.5
Carson Wentz,carson wentz,MIN,FantasyPros,0.9,6.7,0.1,0.1,0.2,0.7,0.0,0.5
Jarrett Stidham,jarrett stidham,DEN,FantasyPros,0.9,5.6,0.1,0.0,0.2,0.6,0.0,0.5
Mac Jones,mac jones,SF,FantasyPros,0.8,5.9,0.1,0.0,0.2,0.6,0.0,0.5
Sam Howell,sam howell,DAL,FantasyPros,0.6,5.1,0.1,0.0,0.2,0.9,0.0,0.5
Malik Willis,malik willis,MIA,FantasyPros,0.8,5.5,0.1,0.0,0.2,0.8,0.0,0.5
Jimmy Garoppolo,jimmy garoppolo,LAR,FantasyPros,0.8,6.3,0.1,0.0,0.1,0.2,0.0,0.5
Joe Milton III,joe milton,DAL,FantasyPros,0.9,6.0,0.1,0.0,0.1,0.5,0.0,0.5
Andy Dalton,andy dalton,PHI,FantasyPros,0.8,5.8,0.1,0.0,0.1,0.5,0.0,0.5
Davis Mills,davis mills,HOU,FantasyPros,0.8,5.5,0.1,0.0,0.2,0.6,0.0,0.5
Mitchell Trubisky,mitchell trubisky,TEN,FantasyPros,0.8,5.5,0.1,0.0,0.2,0.6,0.0,0.5
Kenny Pickett,kenny pickett,CAR,FantasyPros,0.9,5.7,0.1,0.0,0.1,0.5,0.0,0.5
Kirk Cousins,kirk cousins,LV,FantasyPros,0.8,6.2,0.1,0.0,0.2,0.3,0.0,0.5
Tyrod Taylor,tyrod taylor,GB,FantasyPros,0.8,5.0,0.1,0.0,0.1,0.5,0.0,0.5
Tyson Bagent,tyson bagent,CHI,FantasyPros,0.8,4.8,0.1,0.0,0.1,0.5,0.0,0.5
Teddy Bridgewater,teddy bridgewater,DET,FantasyPros,0.6,4.7,0.1,0.0,0.1,0.3,0.0,0.5
Tyler Shough,tyler shough,NO,FantasyPros,0.8,4.9,0.1,0.0,0.1,0.5,0.0,0.4
Brandon Allen,brandon allen,NYG,FantasyPros,0.7,4.8,0.1,0.0,0.1,0.3,0.0,0.4
Anthony Richardson Sr.,anthony richardson,IND,FantasyPros,0.6,4.3,0.1,0.0,0.2,0.7,0.0,0.4
Drew Lock,drew lock,SEA,FantasyPros,0.7,4.6,0.1,0.1,0.1,0.5,0.0,0.4
Dillon Gabriel,dillon gabriel,CLE,FantasyPros,0.6,3.7,0.1,0.0,0.1,0.3,0.0,0.4
Trey Lance,trey lance,LAC,FantasyPros,0.8,5.0,0.0,0.0,0.2,0.6,0.0,0.3
Kyle Allen,kyle allen,BUF,FantasyPros,0.5,4.8,0.0,0.0,0.1,0.1,0.0,0.2
Josh Johnson,josh johnson,CIN,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Case Keenum,case keenum,CHI,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameis Winston,jameis winston,NYG,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trevor Siemian,trevor siemian,ATL,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,jeff driskel,WAS,FantasyPros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
