season,week,source,scoring,position,player,player_clean,team,fpid,mflid,filename,fp_points_std,fp_points_half,fp_points_ppr,fp_receptions,fp_receiving_yds,fp_receiving_tds,fp_rush_att,fp_rush_yds,fp_rush_tds,fp_pass_att,fp_pass_cmp,fp_pass_yds,fp_pass_tds,fp_pass_int,fp_fumbles,fp_ret_tds,fp_2pt_tds
2024,1,fantasypros_api,STD,RB,Trey Sermon,trey sermon,FA,19425,15257.0,trey-sermon.php,1.66,1.87,2.08,0.42,2.81,0.01,2.48,11.01,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ameer Abdullah,ameer abdullah,JAC,13924,12155.0,ameer-abdullah.php,1.28,1.61,1.95,0.68,5.25,0.01,1.64,6.09,0.01,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Cordarrelle Patterson,cordarrelle patterson,FA,11613,11225.0,cordarrelle-patterson.php,1.45,1.68,1.92,0.46,3.77,0.02,1.22,6.57,0.06,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Dalvin Cook,dalvin cook,FA,16374,13128.0,dalvin-cook.php,1.48,1.69,1.91,0.43,2.93,0.02,1.91,8.54,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Isaiah Davis,isaiah davis,NYJ,25977,16752.0,isaiah-davis.php,1.53,1.71,1.88,0.35,2.45,0.01,2.92,8.76,0.06,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,Carson Steele,carson steele,PHI,26372,16612.0,carson-steele.php,1.25,1.4,1.55,0.3,2.08,0.01,1.38,6.57,0.06,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Will Shipley,will shipley,PHI,22930,16601.0,will-shipley.php,1.28,1.38,1.48,0.21,1.7,0.01,1.35,7.03,0.06,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Deuce Vaughn,deuce vaughn,FA,22984,16176.0,deuce-vaughn.php,1.06,1.26,1.46,0.4,2.83,0.01,1.49,5.16,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Isaac Guerendo,isaac guerendo,SF,26392,16688.0,isaac-guerendo.php,1.3,1.37,1.45,0.15,1.15,0.02,1.9,8.7,0.04,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,Dare Ogunbowale,dare ogunbowale,FA,16879,13148.0,dare-ogunbowale.php,0.9,1.1,1.31,0.42,3.17,0.01,1.01,3.48,0.03,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jeff Wilson Jr.,jeff wilson,FA,18026,14017.0,jeffery-wilson.php,1.05,1.18,1.31,0.26,1.92,0.01,1.32,6.21,0.03,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Raheem Blackshear,raheem blackshear,FA,20100,15973.0,raheem-blackshear.php,0.8,0.97,1.14,0.34,2.47,0.01,0.96,3.37,0.03,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Trayveon Williams,trayveon williams,FA,18607,14076.0,trayveon-williams.php,0.83,0.96,1.1,0.27,1.83,0.01,0.94,4.23,0.03,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,Ronnie Rivers,ronnie rivers,LAR,23986,15726.0,ronnie-rivers.php,0.86,0.97,1.08,0.22,1.69,0.0,1.33,5.56,0.02,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Hunter Luepke,hunter luepke,DAL,25941,16391.0,hunter-luepke.php,0.78,0.88,0.98,0.21,1.48,0.01,0.41,1.47,0.07,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,D'Ernest Johnson,dernest johnson,FA,19111,14331.0,dernest-johnson.php,0.74,0.86,0.97,0.23,1.67,0.01,1.14,4.44,0.02,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,JaMycal Hasty,jamycal hasty,FA,19627,14821.0,jamycal-hasty.php,0.7,0.82,0.94,0.24,1.63,0.0,0.93,3.42,0.03,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Tyler Goodson,tyler goodson,ATL,22976,15730.0,tyler-goodson.php,0.67,0.77,0.87,0.2,1.38,0.01,0.89,3.77,0.02,,,,,,0.01,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jordan Mims,jordan mims,FA,25816,16424.0,jordan-mims.php,0.66,0.76,0.86,0.19,1.11,0.01,0.85,3.59,0.03,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Alec Ingold,alec ingold,LAC,18571,14420.0,alec-ingold.php,0.42,0.63,0.84,0.42,3.2,0.01,0.08,0.21,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Craig Reynolds,craig reynolds,FA,19074,14727.0,craig-reynolds.php,0.73,0.79,0.84,0.12,1.07,0.0,0.68,3.81,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Kenny McIntosh,kenny mcintosh,SEA,25329,16170.0,kenny-mcintosh.php,0.74,0.78,0.82,0.08,0.84,0.0,0.7,4.11,0.04,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Cody Schrader,cody schrader,DEN,26216,16600.0,cody-schrader.php,0.75,0.77,0.8,0.05,0.85,0.0,0.9,3.6,0.05,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Sean Tucker,sean tucker,TB,23679,16166.0,sean-tucker.php,0.65,0.71,0.77,0.12,0.88,0.0,1.07,4.43,0.02,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Jeremy McNichols,jeremy mcnichols,WAS,16445,13143.0,jeremy-mcnichols.php,0.38,0.52,0.65,0.27,2.24,0.0,0.58,1.59,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,British Brooks,british brooks,HOU,26748,16816.0,british-brooks.php,0.25,0.39,0.52,0.27,1.93,0.01,0.0,0.0,0.0,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Adam Prentice,adam prentice,DEN,23451,15650.0,adam-prentice.php,0.31,0.4,0.5,0.19,1.31,0.01,0.2,0.86,0.01,,,,,,0.0,0.0,0.0
2024,1,fantasypros_api,STD,RB,Hassan Haskins,hassan haskins,LAC,23798,15720.0,hassan-haskins.php,0.27,0.38,0.49,0.22,1.07,0.0,0.35,1.52,0.0,,,,,,0.0,0.0,0.0
