team,player,probability,config_version
SEA,Kevin Concepcion,0.001,v1
SEA,Christen Miller,0.0008,v1
SEA,Omar Cooper Jr.,0.0008,v1
SEA,Sonny Styles,0.0008,v1
SEA,Jordyn Tyson,0.0006,v1
SEA,Peter Woods,0.0006,v1
SEA,Spencer Fano,0.0006,v1
SEA,Caleb Downs,0.0004,v1
SEA,Jacob Rodriguez,0.0004,v1
SEA,Jeremiyah Love,0.0004,v1
SEA,Anthony Hill Jr.,0.0002,v1
SEA,Lee Hunter,0.0002,v1
SEA,Makai Lemon,0.0002,v1
SEA,Rueben Bain,0.0002,v1
SF,Denzel Boston,0.1394,v1
SF,Caleb Lomu,0.1164,v1
SF,T.J. Parker,0.115,v1
SF,Kevin Concepcion,0.104,v1
SF,Cashius Howell,0.0792,v1
SF,Blake Miller,0.0784,v1
SF,Spencer Fano,0.051,v1
SF,Avieon Terrell,0.0408,v1
SF,Monroe Freeling,0.0398,v1
SF,Max Iheanachor,0.0316,v1
SF,Kadyn Proctor,0.0312,v1
SF,Olaivavega Ioane,0.029,v1
SF,Omar Cooper Jr.,0.017,v1
SF,Dillon Thieneman,0.0122,v1
SF,Zion Young,0.012,v1
SF,Jordyn Tyson,0.0102,v1
SF,Colton Hood,0.01,v1
SF,Kayden McDonald,0.0098,v1
SF,Emmanuel McNeil-Warren,0.0092,v1
SF,Peter Woods,0.0092,v1
SF,Keldric Faulk,0.0072,v1
SF,Akheem Mesidor,0.0066,v1
SF,Makai Lemon,0.006,v1
SF,Kenyon Sadiq,0.0046,v1
SF,C.J. Allen,0.0042,v1
SF,Chase Bisontis,0.0042,v1
SF,Emmanuel Pregnon,0.0038,v1
SF,Caleb Downs,0.0034,v1
SF,Jeremiyah Love,0.0026,v1
SF,Jermod McCoy,0.0026,v1
SF,Malachi Lawrence,0.002,v1
SF,Chris Johnson,0.0016,v1
SF,Sonny Styles,0.0012,v1
SF,Caleb Banks,0.001,v1
SF,Mansoor Delane,0.001,v1
SF,Francis Mauigoa,0.0008,v1
SF,Brandon Cisse,0.0006,v1
SF,Carnell Tate,0.0004,v1
SF,Rueben Bain,0.0004,v1
SF,Ty Simpson,0.0004,v1
TB,Keldric Faulk,0.3242,v1
TB,Kenyon Sadiq,0.245,v1
TB,Akheem Mesidor,0.1574,v1
TB,Jermod McCoy,0.0762,v1
TB,Olaivavega Ioane,0.075,v1
TB,Rueben Bain,0.0344,v1
TB,Jeremiyah Love,0.0128,v1
TB,Kadyn Proctor,0.011,v1
TB,Mansoor Delane,0.0086,v1
TB,Jordyn Tyson,0.0078,v1
TB,Monroe Freeling,0.0076,v1
TB,Sonny Styles,0.0066,v1
TB,Francis Mauigoa,0.0058,v1
TB,Makai Lemon,0.0054,v1
TB,Avieon Terrell,0.005,v1
TB,Dillon Thieneman,0.0048,v1
TB,Emmanuel McNeil-Warren,0.0038,v1
TB,Spencer Fano,0.0024,v1
TB,Omar Cooper Jr.,0.0022,v1
TB,Blake Miller,0.0016,v1
TB,Caleb Downs,0.0008,v1
TB,Caleb Lomu,0.0008,v1
TB,Kevin Concepcion,0.0004,v1
TB,Carnell Tate,0.0002,v1
TB,David Bailey,0.0002,v1
TEN,Jeremiyah Love,0.3936,v1
TEN,David Bailey,0.2054,v1
TEN,Carnell Tate,0.1152,v1
TEN,Arvell Reese,0.1002,v1
TEN,Rueben Bain,0.0892,v1
TEN,Sonny Styles,0.0688,v1
TEN,Francis Mauigoa,0.0154,v1
TEN,Makai Lemon,0.0068,v1
TEN,Caleb Downs,0.0018,v1
TEN,Mansoor Delane,0.0018,v1
TEN,Spencer Fano,0.0014,v1
TEN,Monroe Freeling,0.0004,v1
WAS,Rueben Bain,0.3608,v1
WAS,Sonny Styles,0.1548,v1
WAS,Carnell Tate,0.1142,v1
WAS,Caleb Downs,0.0982,v1
WAS,Jeremiyah Love,0.0764,v1
WAS,Makai Lemon,0.0486,v1
WAS,David Bailey,0.0464,v1
WAS,Jordyn Tyson,0.0354,v1
WAS,Francis Mauigoa,0.0196,v1
WAS,Mansoor Delane,0.017,v1
WAS,Arvell Reese,0.0128,v1
WAS,Monroe Freeling,0.0054,v1
WAS,Spencer Fano,0.004,v1
WAS,Jermod McCoy,0.0038,v1
WAS,Dillon Thieneman,0.0018,v1
WAS,Kenyon Sadiq,0.0004,v1
WAS,Olaivavega Ioane,0.0004,v1
