"player","position","team","bye_week","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","position_rank","tier","age","adp","aav","uncertainty","experience"
"David Onyemata","DL","NO",6,2.14,NA,0.04,NA,NA,-1.89,NA,NA,337,NA,NA,54,"5",33,NA,NA,NA,5
"Anthony Barr","LB","MIN",7,4.29,0.693,0.0363,3.81,4.77,-1.89,-1.27,-2.8,338,233,345,44,"2",34,NA,NA,28,7
"Texans","DST","HOU",10,4.23,0.663,0.325,3.25,4.97,-1.9,-2.13,-1.52,339,320,243,31,"19",NA,NA,NA,65,NA
"Albert Okwuegbunam","TE","DEN",11,4.69,1.04,0.112,3.44,5.92,-1.91,-1.92,-2.2,341,297,300,25,"11",28,NA,NA,45,1
"Roy Robertson-Harris","DL","JAC",7,2.1,NA,0.09,NA,NA,-1.93,NA,NA,343,NA,NA,55,"5",32,NA,NA,NA,5
"Ndamukong Suh","DL","TB",9,2.1,NA,0,NA,NA,-1.93,NA,NA,343,NA,NA,55,"5",39,NA,NA,NA,11
"Jermaine Carter","LB","CAR",13,4.25,2.76,0.00199,2.36,6.17,-1.93,-2.72,-1.4,342,363,231,45,"2",NA,NA,NA,95,3
"Alec Ogletree","LB","CHI",10,4.25,1.29,0.0176,3.36,5.14,-1.93,-1.72,-2.42,344,272,314,46,"2",34,NA,NA,40,8
"Marquez Callaway","WR","NO",6,7.04,1.36,0.0402,5.17,8.57,-1.95,-2.14,-1.89,348,321,276,52,"10",28,NA,NA,33,1
"Leonard Floyd","LB","LAR",11,4.23,0.0566,0.0154,4.19,4.27,-1.95,-0.893,-3.29,347,200,370,47,"2",33,NA,NA,1,5
"Quincy Williams","LB","NYJ",6,4.21,1.5,0.0149,3.12,5.93,-1.97,-1.96,-1.64,351,304,252,48,"2",29,NA,NA,51,2
"Zaire Franklin","LB","IND",14,4.2,NA,0.0272,NA,NA,-1.98,NA,NA,352,NA,NA,49,"2",29,NA,NA,NA,3
"Laquon Treadwell","WR","JAC",7,7,2.58,0.0278,2.96,9.51,-1.99,-4.35,-0.957,353,439,203,53,"10",30,NA,NA,91,5
"Eddy Pineiro","K","NYJ",6,6.97,0.612,0.245,6.23,7.65,-2.01,-1.09,-2.57,355,220,327,22,"3",30,NA,NA,1,3
